1315,754874841593970688
1345,759159934323924993
1349,759566828574212096
1368,761750502866649088
1387,766078092750233600
1407,770093767776997377
1417,771171053431250945
1427,772615324260794368
1446,775898661951791106
1453,776819012571455488
1456,777641927919427584
1476,780496263422808064
1487,782021823840026624
1495,783347506784731136
1510,786036967502913536
1522,788070120937619456
1541,791026214425268224
1564,793614319594401792
1569,794355576146903043
1571,794983741416415232
1579,796177847564038144
1588,798340744599797760
1589,798628517273620480
1590,798644042770751489
1591,798665375516884993
1593,798694562394996736
1594,798697898615730177
1601,799774291445383169
1615,802247111496568832
1619,802624713319034886
1624,803692223237865472
1627,804413760345620481
1634,805958939288408065
1636,806242860592926720
1645,808134635716833280
1652,809808892968534016
1683,813944609378369540
1693,816014286006976512
1703,817181837579653120
1712,818588835076603904
1718,819015337530290176
1727,820446719150292993
1736,821813639212650496
1742,822647212903690241
1746,823269594223824897
1789,829878982036299777
1803,832040443403784192
1804,832215726631055365
1864,842892208864923648
1903,851953902622658560
2041,885311592912609280
2055,888202515573088257
