artist_id,artist_latitude,artist_location,artist_longitude,artist_name,duration,num_songs,song_id,title,year,city,state,country
ARPPJJO1187B99D171,25.03512115,,121.5149734,Michael Stearns,427.59791,1,SOEBWIE12A8C14380F,Sacred Site Soundtrack,1993,,Taipei,TW
ARBZIN01187FB362CC,1.32023718180581,,103.788759697469,Paris Hilton,192.28689,1,SOERIDA12A6D4F8506,I Want You (Album Version),2006,,,Singapore
ARZLVVQ11F4C8421BA,39.4716873,,-111.5628165,T.O.K,188.1073,1,SOTQSHS12A8AE46A4A,Money Maker,0,,Utah,USA
ARAQMES1187FB4D46A,28.6433073984847,,-81.2325190952715,Benzino / The Outlawz,228.96281,1,SOHJBCO12AB01889CD,Feel Your Pain,0,,Florida,USA
AR4T2IF1187B9ADBB7,63.9601779,,10.2244298,Billy Idol,287.92118,1,SOVYXYL12AF72A3373,Rebel Yell (1999 Digital Remaster),1983,,,Norway
AR4T2IF1187B9ADBB7,63.9601779,,10.2244298,Billy Idol,247.53587,1,SOLQYSZ12AB0181F97,Mony Mony (Live),1987,,,Norway
AR4T2IF1187B9ADBB7,63.9601779,,10.2244298,Billy Idol,443.14077,1,SOIEXLS12A6D4F792F,Shangrila,1993,,,Norway
ARZPWMP12086C175D6,31.1697027906955,,-100.077144457897,Jannes,184.08444,1,SORUGLY12AB0187CC5,Laat Me Alleen,0,,Texas,USA
AR4T2IF1187B9ADBB7,63.9601779,,10.2244298,Billy Idol,237.06077,1,SOETDBF12A81C20BC0,Body Snatcher,2005,,,Norway
ARQF61A1187FB4A61F,59.3321506654496,,18.0624348980593,Eric Prydz,360.46322,1,SOYZIFC12AB0186300,Pjanoo (High Contrast Remix),2008,Stockholm,Stockholm County,Sweden
ARBZIN01187FB362CC,1.32023718180581,,103.788759697469,Paris Hilton,274.05016,1,SOYEDMV12A58A7AF6D,Do Ya Think I'm Sexy (Album Version),2006,,,Singapore
AR0JBXL1187FB52810,19.4090454,,-99.1498575,St. Vincent,307.53914,1,SORMAXQ12A8C139224,Landmines,2007,Mexico City,Mexico City,Mexico
ARFH6FT1187FB5BF47,39.4716873,,-111.5628165,T.O.K.,225.72363,1,SOFLPJR12A8C134166,Saturday,2001,,Utah,USA
ARAQMES1187FB4D46A,28.6433073984847,,-81.2325190952715,Benzino / K.T. / Prince / Smoke / Luv' / Weirdo / O.T.,260.8322,1,SOSHXLZ12AB0185894,Throw Them 3's (Bouston Ni****),0,,Florida,USA
AR4T2IF1187B9ADBB7,63.9601779,,10.2244298,Billy Idol,233.22077,1,SOVIYJY12AF72A4B00,The Dead Next Door (Digitally Remastered 99),1983,,,Norway
ARZ8MVL1187FB41D17,35.85782225,,129.244810467745,Shout Out Out Out Out,233.9522,1,SOFIUCS12AB01896AD,How Do I Maintain Pt. II,2009,Gyeongju-si,Gyeongbuk,South Korea
ARYV92D1187B9B67E2,25.0666107,,121.5318962,The Amity Affliction,310.77832,1,SOTSSCM12AB017FD93,Severance,2005,,Taipei,TW
AREUT471187FB47D1D,19.4846329361836,,-99.1817784195042,Newworldaquarium,513.67138,1,SOJWLCO12AC46873DB,NoworldbutU,2008,Azcapotzalco,Mexico City,Mexico
